name,wins,losses,total_combats,win_rate,id,types,attack,defense,hp,speed
Mega Pidgeot,13.0,0.0,13.0,1.0,24.0,Normal/Flying,80.0,80.0,83.0,121.0
Crobat,11.0,0.0,11.0,1.0,184.0,Poison/Flying,90.0,80.0,85.0,130.0
Durant,11.0,0.0,11.0,1.0,694.0,Bug/Steel,109.0,112.0,58.0,109.0
Persian,11.0,0.0,11.0,1.0,59.0,Normal,70.0,60.0,65.0,115.0
Frogadier,10.0,0.0,10.0,1.0,726.0,Water,63.0,52.0,54.0,97.0
Mega Aerodactyl,10.0,0.0,10.0,1.0,155.0,Rock/Flying,135.0,85.0,80.0,150.0
Mega Gengar,10.0,0.0,10.0,1.0,103.0,Ghost/Poison,65.0,80.0,60.0,130.0
Mega Mewtwo Y,10.0,0.0,10.0,1.0,165.0,Psychic,150.0,70.0,106.0,140.0
Accelgor,9.0,0.0,9.0,1.0,679.0,Bug,70.0,40.0,80.0,145.0
Aerodactyl,9.0,0.0,9.0,1.0,154.0,Rock/Flying,105.0,65.0,80.0,130.0
Keldeo Resolute Forme,9.0,0.0,9.0,1.0,715.0,Water/Fighting,72.0,90.0,91.0,108.0
Plusle,9.0,0.0,9.0,1.0,341.0,Electric,50.0,40.0,60.0,95.0
Simisear,9.0,0.0,9.0,1.0,574.0,Fire,98.0,63.0,75.0,101.0
Slaking,9.0,0.0,9.0,1.0,314.0,Normal,160.0,100.0,150.0,100.0
Ambipom,8.0,0.0,8.0,1.0,472.0,Normal,100.0,66.0,75.0,115.0
Cobalion,8.0,0.0,8.0,1.0,700.0,Steel/Fighting,90.0,129.0,91.0,108.0
Dialga,8.0,0.0,8.0,1.0,541.0,Steel/Dragon,120.0,120.0,100.0,90.0
Excadrill,8.0,0.0,8.0,1.0,590.0,Ground/Steel,135.0,60.0,110.0,88.0
Gengar,8.0,0.0,8.0,1.0,102.0,Ghost/Poison,65.0,60.0,60.0,110.0
Leavanny,8.0,0.0,8.0,1.0,603.0,Bug/Grass,103.0,80.0,75.0,92.0
Mega Gardevoir,8.0,0.0,8.0,1.0,307.0,Psychic/Fairy,85.0,65.0,68.0,100.0
Mienshao,8.0,0.0,8.0,1.0,682.0,Fighting,125.0,60.0,65.0,105.0
Sneasel,8.0,0.0,8.0,1.0,234.0,Dark/Ice,95.0,55.0,55.0,115.0
Archen,7.0,0.0,7.0,1.0,628.0,Rock/Flying,112.0,45.0,55.0,70.0
Darkrai,7.0,0.0,7.0,1.0,550.0,Dark,90.0,90.0,70.0,125.0
Dedenne,7.0,0.0,7.0,1.0,773.0,Electric/Fairy,58.0,57.0,67.0,101.0
Froslass,7.0,0.0,7.0,1.0,531.0,Ice/Ghost,80.0,70.0,70.0,110.0
Mega Latios,7.0,0.0,7.0,1.0,421.0,Dragon/Psychic,130.0,100.0,80.0,110.0
Mega Lopunny,7.0,0.0,7.0,1.0,477.0,Normal/Fighting,136.0,94.0,65.0,135.0
Mismagius,7.0,0.0,7.0,1.0,478.0,Ghost,60.0,60.0,60.0,105.0
Primal Kyogre,7.0,0.0,7.0,1.0,423.0,Water,150.0,90.0,100.0,90.0
Sawsbuck,7.0,0.0,7.0,1.0,648.0,Normal/Grass,100.0,70.0,80.0,95.0
Swellow,7.0,0.0,7.0,1.0,301.0,Normal/Flying,85.0,60.0,60.0,125.0
Victini,7.0,0.0,7.0,1.0,554.0,Psychic/Fire,100.0,100.0,100.0,100.0
Arceus,6.0,0.0,6.0,1.0,553.0,Normal,120.0,120.0,120.0,120.0
Bisharp,6.0,0.0,6.0,1.0,687.0,Dark/Steel,125.0,100.0,65.0,70.0
Charizard,6.0,0.0,6.0,1.0,7.0,Fire/Flying,84.0,78.0,78.0,100.0
Cherrim,6.0,0.0,6.0,1.0,469.0,Grass,60.0,70.0,70.0,85.0
Kangaskhan,6.0,0.0,6.0,1.0,124.0,Normal,95.0,80.0,105.0,90.0
Kyurem Black Kyurem,6.0,0.0,6.0,1.0,712.0,Dragon/Ice,170.0,100.0,125.0,95.0
Mega Beedrill,6.0,0.0,6.0,1.0,20.0,Bug/Poison,150.0,40.0,65.0,145.0
Mega Glalie,6.0,0.0,6.0,1.0,398.0,Ice,120.0,80.0,80.0,100.0
Mega Houndoom,6.0,0.0,6.0,1.0,249.0,Dark/Fire,90.0,90.0,75.0,115.0
Mega Sceptile,6.0,0.0,6.0,1.0,276.0,Grass/Dragon,110.0,75.0,70.0,145.0
Meloetta Pirouette Forme,6.0,0.0,6.0,1.0,717.0,Normal/Fighting,128.0,90.0,100.0,128.0
Mewtwo,6.0,0.0,6.0,1.0,163.0,Psychic,110.0,90.0,106.0,130.0
Raichu,6.0,0.0,6.0,1.0,32.0,Electric,90.0,55.0,60.0,110.0
Regigigas,6.0,0.0,6.0,1.0,544.0,Normal,160.0,110.0,110.0,100.0
Scyther,6.0,0.0,6.0,1.0,133.0,Bug/Flying,110.0,80.0,70.0,105.0
Skarmory,6.0,0.0,6.0,1.0,246.0,Steel/Flying,80.0,140.0,65.0,70.0
Swanna,6.0,0.0,6.0,1.0,643.0,Water/Flying,87.0,63.0,75.0,98.0
Sylveon,6.0,0.0,6.0,1.0,771.0,Fairy,65.0,65.0,95.0,60.0
Tornadus Therian Forme,6.0,0.0,6.0,1.0,704.0,Flying,100.0,80.0,79.0,121.0
Arcanine,5.0,0.0,5.0,1.0,65.0,Fire,110.0,80.0,90.0,95.0
Deoxys Defense Forme,5.0,0.0,5.0,1.0,431.0,Psychic,70.0,160.0,50.0,90.0
Deoxys Normal Forme,5.0,0.0,5.0,1.0,429.0,Psychic,150.0,50.0,50.0,150.0
Furfrou,5.0,0.0,5.0,1.0,745.0,Normal,80.0,60.0,75.0,102.0
Leafeon,5.0,0.0,5.0,1.0,522.0,Grass,110.0,130.0,65.0,95.0
Mega Charizard Y,5.0,0.0,5.0,1.0,9.0,Fire/Flying,104.0,78.0,78.0,100.0
Meowstic Female,5.0,0.0,5.0,1.0,748.0,Psychic,48.0,76.0,74.0,104.0
Mow Rotom,5.0,0.0,5.0,1.0,537.0,Electric/Grass,65.0,107.0,50.0,86.0
Noivern,5.0,0.0,5.0,1.0,792.0,Flying/Dragon,70.0,80.0,85.0,123.0
Shaymin Sky Forme,5.0,0.0,5.0,1.0,552.0,Grass/Flying,103.0,75.0,100.0,127.0
Staraptor,5.0,0.0,5.0,1.0,444.0,Normal/Flying,120.0,70.0,85.0,100.0
Thundurus Incarnate Forme,5.0,0.0,5.0,1.0,705.0,Electric/Flying,115.0,70.0,79.0,111.0
Cryogonal,4.0,0.0,4.0,1.0,677.0,Ice,50.0,30.0,70.0,105.0
Darmanitan Standard Mode,4.0,0.0,4.0,1.0,616.0,Fire,140.0,55.0,105.0,95.0
Drilbur,4.0,0.0,4.0,1.0,589.0,Ground,85.0,40.0,60.0,68.0
Gourgeist Small Size,4.0,0.0,4.0,1.0,786.0,Ghost/Grass,85.0,122.0,55.0,99.0
Landorus Incarnate Forme,4.0,0.0,4.0,1.0,709.0,Ground/Flying,125.0,90.0,89.0,101.0
Landorus Therian Forme,4.0,0.0,4.0,1.0,710.0,Ground/Flying,145.0,90.0,89.0,91.0
Mega Charizard X,4.0,0.0,4.0,1.0,8.0,Fire/Dragon,130.0,111.0,78.0,100.0
Mega Lucario,4.0,0.0,4.0,1.0,499.0,Fighting/Steel,145.0,88.0,70.0,112.0
Ponyta,4.0,0.0,4.0,1.0,84.0,Fire,85.0,55.0,50.0,90.0
Gourgeist Large Size,3.0,0.0,3.0,1.0,787.0,Ghost/Grass,95.0,122.0,75.0,69.0
Hawlucha,3.0,0.0,3.0,1.0,772.0,Fighting/Flying,92.0,75.0,78.0,118.0
Kingler,3.0,0.0,3.0,1.0,108.0,Water,130.0,115.0,55.0,75.0
Krokorok,3.0,0.0,3.0,1.0,613.0,Ground/Dark,82.0,45.0,60.0,74.0
