name,wins,losses,total_combats,win_rate,id,types,attack,defense,hp,speed
Azelf,14.0,1.0,15.0,0.9333,540.0,Psychic,125.0,70.0,75.0,115.0
Mega Pidgeot,13.0,0.0,13.0,1.0,24.0,Normal/Flying,80.0,80.0,83.0,121.0
Jirachi,13.0,1.0,14.0,0.9286,428.0,Steel/Psychic,100.0,100.0,100.0,100.0
Garchomp,13.0,2.0,15.0,0.8667,494.0,Dragon/Ground,130.0,95.0,108.0,102.0
Crobat,11.0,0.0,11.0,1.0,184.0,Poison/Flying,90.0,80.0,85.0,130.0
Durant,11.0,0.0,11.0,1.0,694.0,Bug/Steel,109.0,112.0,58.0,109.0
Persian,11.0,0.0,11.0,1.0,59.0,Normal,70.0,60.0,65.0,115.0
Serperior,11.0,1.0,12.0,0.9167,557.0,Grass,75.0,95.0,75.0,113.0
Groudon,11.0,2.0,13.0,0.8462,424.0,Ground,150.0,140.0,100.0,90.0
Jolteon,11.0,2.0,13.0,0.8462,147.0,Electric,65.0,60.0,65.0,130.0
